Sentence,Tokens,Lemmas,POS,Chapter,Labels
— О!,о,о,INTJ,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0
это московский франт Раевич!,это;московский;франт;раевич,это;московский;франт;раевич,PART;A;S;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0
"Он игрок: это видно тотчас по золотой огромной цепи, которая извивается по его голубому жилету.",он;игрок;это;видно;тотчас;по;золотой;огромной;цепи;которая;извивается;по;его;голубому;жилету,он;игрок;это;видно;тотчас;по;золотой;огромный;цепь;который;извиваться;по;его;голубой;жилет,SPRO;S;PART;ADV;ADV;PR;A;A;S;APRO;V;PR;APRO;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
А что за толстая трость — точно у Робинзона Крузое!,а;что;за;толстая;трость;точно;у;робинзона;крузое,а;что;за;толстый;трость;точно;у;робинзон;крузый,CONJ;SPRO;PR;A;S;ADV;PR;S;A,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0
"Да и борода кстати, и прическа à la moujik.",да;и;борода;кстати;и;прическа;à;la;moujik,да;и;борода;кстати;и;прическа;à;la;moujik,CONJ;CONJ;S;ADV;CONJ;S;;;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0
— Ты озлоблен против всего рода человеческого.,ты;озлоблен;против;всего;рода;человеческого,ты;озлоблять;против;весь;род;человеческий,SPRO;V;PR;APRO;S;A,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0
— И есть за что... — О!,и;есть;за;что;... ;о,и;быть;за;что;... ;о,CONJ;V;PR;SPRO;;INTJ,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0
право?,право,право,S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,1
В это время дамы отошли от колодца и поровнялись с нами.,в;это;время;дамы;отошли;от;колодца;и;поровнялись;с;нами,в;этот;время;дама;отходить;от;колодец;и;поровняться;с;мы,PR;APRO;S;S;V;PR;S;CONJ;V;PR;SPRO,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0
"Грушницкий успел принять драматическую позу с помощью костыля и громко отвечал мне по-французски: — Mon cher, je haïs les hommes pour ne pas les mépriser, car autrement la vie serait une farce trop dégoûtante.",грушницкий;успел;принять;драматическую;позу;с;помощью;костыля;и;громко;отвечал;мне;по-французски;: — ;mon;cher;je;haïs;les;hommes;pour;ne;pas;les;mépriser;car;autrement;la;vie;serait;une;farce;trop;dégoûtante,грушницкий;успевать;принимать;драматический;поза;с;помощь;костыль;и;громко;отвечать;я;по-французски;: — ;mon;cher;je;haïs;les;hommes;pour;ne;pas;les;mépriser;car;autrement;la;vie;serait;une;farce;trop;dégoûtante,S;V;V;A;S;PR;S;S;CONJ;ADV;V;SPRO;ADV;;;;;;;;;;;;;;;;;;;;;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Хорошенькая княжна обернулась и подарила оратора долгим любопытным взором.,хорошенькая;княжна;обернулась;и;подарила;оратора;долгим;любопытным;взором,хорошенький;княжна;обертываться;и;подарить;оратор;долгий;любопытный;взор,A;S;V;CONJ;V;S;A;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0
"Выражение этого взора было очень неопределенно, но не насмешливо, с чем я внутренно от души его поздравил.",выражение;этого;взора;было;очень;неопределенно;но;не;насмешливо;с;чем;я;внутренно;от;души;его;поздравил,выражение;этот;взор;быть;очень;неопределенно;но;не;насмешливый;с;что;я;внутренно;от;душа;он;поздравлять,S;APRO;S;V;ADV;ADV;CONJ;PART;A;PR;SPRO;SPRO;ADV;PR;S;SPRO;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"— Эта княжна Мери прехорошенькая, — сказал я ему.","эта;княжна;мери;прехорошенькая;, — ;сказал;я;ему","этот;княжна;мери;прехорошенький;, — ;сказать;я;он",APRO;S;S;A;;V;SPRO;SPRO,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0
"— У нее такие бархатные глаза, — именно бархатные, я тебе советую присвоить это выражение, говоря об ее глазах: нижние и верхние ресницы так длинны, что лучи солнца не отражаются в ее зрачках.","у;нее;такие;бархатные;глаза;, — ;именно;бархатные;я;тебе;советую;присвоить;это;выражение;говоря;об;ее;глазах;нижние;и;верхние;ресницы;так;длинны;что;лучи;солнца;не;отражаются;в;ее;зрачках","у;она;такой;бархатный;глаз;, — ;именно;бархатный;я;ты;советовать;присваивать;этот;выражение;говорить;об;ее;глаз;нижний;и;верхний;ресница;так;длинный;что;луч;солнце;не;отражаться;в;ее;зрачок",PR;SPRO;APRO;A;S;;PART;A;SPRO;SPRO;V;V;APRO;S;V;PR;APRO;S;A;CONJ;A;S;ADVPRO;A;CONJ;S;S;PART;V;PR;APRO;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Я люблю эти глаза без блеска, Серо-жемчужное.",я;люблю;эти;глаза;без;блеска;серо;жемчужное,я;любить;этот;глаз;без;блеск;серо;жемчужный,SPRO;V;APRO;S;PR;S;ADV;A,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0
(Франц.),франц,франц,S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0
— Ред.,ред,ред,S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0
"— Нет, видел: она подняла твой стакан.",нет;видел;она;подняла;твой;стакан,нет;видеть;она;подымать;твой;стакан,PART;V;SPRO;V;APRO;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0
"Если б был тут сторож, то он сделал бы то же самое, и еще поспешнее, надеясь получить на водку.",если;б;был;тут;сторож;то;он;сделал;бы;то;же;самое;и;еще;поспешнее;надеясь;получить;на;водку,если;б;быть;тут;сторож;то;он;сделать;бы;то;же;самый;и;еще;поспешно;надеяться;получать;на;водка,CONJ;PART;V;ADVPRO;S;CONJ;SPRO;V;PART;SPRO;PART;APRO;CONJ;ADV;ADV;V;V;PR;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Впрочем очень понятно, что ей стало тебя жалко: ты сделал такую ужасную гримасу, когда ступил на простреленную ногу... — И ты не был нисколько тронут, глядя на нее в эту минуту, когда душа сияла на лице ее?..",впрочем;очень;понятно;что;ей;стало;тебя;жалко;ты;сделал;такую;ужасную;гримасу;когда;ступил;на;простреленную;ногу;... ;и;ты;не;был;нисколько;тронут;глядя;на;нее;в;эту;минуту;когда;душа;сияла;на;лице;ее;?..,впрочем;очень;понятно;что;она;становиться;ты;жалко;ты;сделать;такой;ужасный;гримаса;когда;ступать;на;прострелить;нога;... ;и;ты;не;быть;нисколько;тронуть;глядеть;на;она;в;этот;минута;когда;душа;сиять;на;лицо;ее;?..,CONJ;ADV;ADV;CONJ;SPRO;V;SPRO;ADV;SPRO;V;APRO;A;S;CONJ;V;PR;V;S;;CONJ;SPRO;PART;V;ADVPRO;V;V;PR;SPRO;PR;APRO;S;CONJ;S;V;PR;S;APRO;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
— Нет.,нет,нет,PART,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0
Я лгал.,я;лгал,я;лгать,SPRO;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0
Но мне хотелось его побесить.,но;мне;хотелось;его;побесить,но;я;хотеться;он;побесить,CONJ;SPRO;V;SPRO;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0
У меня врожденная страсть противуречить; целая моя жизнь была только цепь грустных и неудачных противуречий сердцу или рассудку.,у;меня;врожденная;страсть;противуречить;целая;моя;жизнь;была;только;цепь;грустных;и;неудачных;противуречий;сердцу;или;рассудку,у;я;врожденный;страсть;противуречивать;целый;мой;жизнь;быть;только;цепь;грустный;и;неудачный;противуречье;сердце;или;рассудок,PR;SPRO;A;S;V;A;APRO;S;V;PART;S;A;CONJ;A;S;S;CONJ;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Присутствие энтузиаста обдает меня крещенским холодом, и, я думаю, частые сношения с вялым флегматиком сделали бы из меня страстного мечтателя.",присутствие;энтузиаста;обдает;меня;крещенским;холодом;и;я;думаю;частые;сношения;с;вялым;флегматиком;сделали;бы;из;меня;страстного;мечтателя,присутствие;энтузиаст;обдавать;я;крещенский;холод;и;я;думать;частый;сношение;с;вялый;флегматик;сделать;бы;из;я;страстный;мечтатель,S;S;V;SPRO;A;S;CONJ;SPRO;V;A;S;PR;A;S;V;PART;PR;SPRO;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Признаюсь еще, чувство неприятное, но знакомое пробежало слегка в это мгновение по моему сердцу: это чувство было зависть; я говорю смело «зависть», потому что привык себе во всем признаваться.","признаюсь;еще;чувство;неприятное;но;знакомое;пробежало;слегка;в;это;мгновение;по;моему;сердцу;это;чувство;было;зависть;я;говорю;смело;зависть;», ;потому;что;привык;себе;во;всем;признаваться","признаваться;еще;чувство;неприятный;но;знакомый;пробежать;слегка;в;этот;мгновение;по;мой;сердце;этот;чувство;быть;зависть;я;говорить;смело;зависть;», ;потому;что;привыкать;себя;во;все;признаваться",V;ADV;S;A;CONJ;A;V;ADV;PR;APRO;S;PR;APRO;S;APRO;S;V;S;SPRO;V;ADV;S;;ADVPRO;CONJ;V;SPRO;PR;SPRO;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"И вряд ли найдется молодой человек, который, встретив хорошенькую женщину, приковавшую его праздное внимание и вдруг явно при нем отличившую другого, ей равно незнакомого, вряд ли, говорю, найдется такой молодой человек (разумеется, живший в большом свете и привыкший баловать свое самолюбие), который бы не был этим поражен неприятно.","и;вряд;ли;найдется;молодой;человек;который;встретив;хорошенькую;женщину;приковавшую;его;праздное;внимание;и;вдруг;явно;при;нем;отличившую;другого;ей;равно;незнакомого;вряд;ли;говорю;найдется;такой;молодой;человек;разумеется;живший;в;большом;свете;и;привыкший;баловать;свое;самолюбие;), ;который;бы;не;был;этим;поражен;неприятно","и;вряд;ли;находиться;молодой;человек;который;встречать;хорошенький;женщина;приковывать;его;праздный;внимание;и;вдруг;явно;при;он;отличать;другой;она;равный;незнакомый;вряд;ли;говорить;находиться;такой;молодой;человек;разумеется;жить;в;большой;свет;и;привыкать;баловать;свой;самолюбие;), ;который;бы;не;быть;это;поражать;неприятно",CONJ;ADV;PART;V;A;S;APRO;V;A;S;V;APRO;A;S;CONJ;ADV;ADV;PR;SPRO;V;APRO;SPRO;A;A;ADV;PART;V;V;APRO;A;S;ADV;V;PR;A;S;CONJ;V;V;APRO;S;;APRO;PART;PART;V;SPRO;V;ADV,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Молча с Грушницким спустились мы с горы и прошли по бульвару, мимо окон дома, где скрылась наша красавица.",молча;с;грушницким;спустились;мы;с;горы;и;прошли;по;бульвару;мимо;окон;дома;где;скрылась;наша;красавица,молча;с;грушницкий;спускаться;мы;с;гора;и;проходить;по;бульвар;мимо;окно;дом;где;скрываться;наш;красавица,ADV;PR;S;V;SPRO;PR;S;CONJ;V;PR;S;PR;S;S;ADVPRO;V;APRO;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Она сидела у окна.,она;сидела;у;окна,она;сидеть;у;окно,SPRO;V;PR;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0
"Грушницкий, дернув меня за руку, бросил на нее один из тех мутно-нежных взглядов, которые так мало действуют на женщин.",грушницкий;дернув;меня;за;руку;бросил;на;нее;один;из;тех;мутно;нежных;взглядов;которые;так;мало;действуют;на;женщин,грушницкий;дернуть;я;за;рука;бросать;на;она;один;из;тот;мутно;нежный;взгляд;который;так;мало;действовать;на;женщина,S;V;SPRO;PR;S;V;PR;SPRO;APRO;PR;APRO;ADV;A;S;APRO;ADVPRO;ADV;V;PR;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Я навел на нее лорнет и заметил, что она от его взгляда улыбнулась, а что мой дерзкий лорнет рассердил ее не на шутку.",я;навел;на;нее;лорнет;и;заметил;что;она;от;его;взгляда;улыбнулась;а;что;мой;дерзкий;лорнет;рассердил;ее;не;на;шутку,я;наводить;на;она;лорнет;и;замечать;что;она;от;его;взгляд;улыбаться;а;что;мой;дерзкий;лорнет;рассердить;она;не;на;шутка,SPRO;V;PR;SPRO;S;CONJ;V;CONJ;SPRO;PR;APRO;S;V;CONJ;CONJ;APRO;A;S;V;SPRO;PART;PR;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"И как, в самом деле, смеет кавказский армеец наводить стеклышко на московскую княжну!",и;как;в;самом;деле;смеет;кавказский;армеец;наводить;стеклышко;на;московскую;княжну,и;как;в;самый;дело;сметь;кавказский;армеец;наводить;стеклышко;на;московский;княжна,CONJ;CONJ;PR;APRO;S;V;A;S;V;S;PR;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0
"13-го мая  Нынче поутру зашел ко мне доктор; его имя Вернер, но он русский.",13;го;мая;нынче;поутру;зашел;ко;мне;доктор;его;имя;вернер;но;он;русский,13;го;май;нынче;поутру;зайти;ко;я;доктор;его;имя;вернер;но;он;русский,;S;S;ADV;ADV;V;PR;SPRO;S;APRO;S;S;CONJ;SPRO;A,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Что тут удивительного?,что;тут;удивительного,что;тут;удивительный,CONJ;ADVPRO;A,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0
"Я знал одного Иванова, который был немец.",я;знал;одного;иванова;который;был;немец,я;знать;один;иванов;который;быть;немец,SPRO;V;APRO;S;APRO;V;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;1;0;0;0
Вернер человек замечательный по многим причинам.,вернер;человек;замечательный;по;многим;причинам,вернер;человек;замечательный;по;многий;причина,S;S;A;PR;APRO;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0
"Он скептик и матерьялист, как все почти медики, а вместе с этим и поэт, и не на шутку, — поэт на деле всегда и часто на словах, хотя в жизнь свою не написал двух стихов.","он;скептик;и;матерьялист;как;все;почти;медики;а;вместе;с;этим;и;поэт;и;не;на;шутку;, — ;поэт;на;деле;всегда;и;часто;на;словах;хотя;в;жизнь;свою;не;написал;двух;стихов","он;скептик;и;матерьялист;как;весь;почти;медик;а;вместе;с;это;и;поэт;и;не;на;шутка;, — ;поэт;на;дело;всегда;и;часто;на;слово;хотя;в;жизнь;свой;не;написать;два;стих",SPRO;S;CONJ;S;CONJ;APRO;ADV;S;CONJ;ADV;PR;SPRO;CONJ;S;CONJ;PART;PR;S;;S;PR;S;ADVPRO;CONJ;ADV;PR;S;CONJ;PR;S;APRO;PART;V;NUM;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Он изучал все живые струны сердца человеческого, как изучают жилы трупа, но никогда не умел он воспользоваться своим знанием.",он;изучал;все;живые;струны;сердца;человеческого;как;изучают;жилы;трупа;но;никогда;не;умел;он;воспользоваться;своим;знанием,он;изучать;весь;живой;струна;сердце;человеческий;как;изучать;жила;труп;но;никогда;не;уметь;он;воспользоваться;свой;знание,SPRO;V;APRO;A;S;S;A;CONJ;V;S;S;CONJ;ADVPRO;PART;V;SPRO;V;APRO;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Так иногда отличный анатомик не умеет вылечить от лихорадки.,так;иногда;отличный;анатомик;не;умеет;вылечить;от;лихорадки,так;иногда;отличный;анатомик;не;уметь;вылечивать;от;лихорадка,ADVPRO;ADV;A;S;PART;V;V;PR;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0
"Обыкновенно Вернер исподтишка насмехался над своими больными; но я раз видел, как он плакал над умирающим солдатом.",обыкновенно;вернер;исподтишка;насмехался;над;своими;больными;но;я;раз;видел;как;он;плакал;над;умирающим;солдатом,обыкновенно;вернер;исподтишка;насмехаться;над;свой;больной;но;я;раз;видеть;как;он;плакать;над;умирающий;солдат,ADV;S;ADV;V;PR;APRO;A;CONJ;SPRO;S;V;CONJ;SPRO;V;PR;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Он был беден, мечтал о миллионах, а для денег не сделал бы лишнего шагу: он мне раз говорил, что скорее сделает одолжение врагу, чем другу, потому что это значило бы продавать свою благотворительность, тогда как ненависть только усилится соразмерно великодушию противника.",он;был;беден;мечтал;о;миллионах;а;для;денег;не;сделал;бы;лишнего;шагу;он;мне;раз;говорил;что;скорее;сделает;одолжение;врагу;чем;другу;потому;что;это;значило;бы;продавать;свою;благотворительность;тогда;как;ненависть;только;усилится;соразмерно;великодушию;противника,он;быть;бедный;мечтать;о;миллион;а;для;деньги;не;сделать;бы;лишний;шаг;он;я;раз;говорить;что;скоро;сделать;одолжение;враг;чем;друг;потому;что;это;значить;бы;продавать;свой;благотворительность;тогда;как;ненависть;только;усиливаться;соразмерно;великодушие;противник,SPRO;V;A;V;PR;S;CONJ;PR;S;PART;V;PART;A;S;SPRO;SPRO;S;V;CONJ;ADV;V;S;S;CONJ;S;ADVPRO;CONJ;SPRO;V;PART;V;APRO;S;ADVPRO;ADVPRO;S;PART;V;PR;S;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"У него был злой язык: под вывескою его эпиграммы не один добряк прослыл пошлым дураком; его соперники, завистливые водяные медики, распустили слух, будто он рисует карикатуры на своих больных, — больные взбеленились!","у;него;был;злой;язык;под;вывескою;его;эпиграммы;не;один;добряк;прослыл;пошлым;дураком;его;соперники;завистливые;водяные;медики;распустили;слух;будто;он;рисует;карикатуры;на;своих;больных;, — ;больные;взбеленились","у;он;быть;злой;язык;под;вывеска;его;эпиграмма;не;один;добряк;прослывать;пошлый;дурак;его;соперник;завистливый;водяной;медик;распускать;слух;будто;он;рисовать;карикатура;на;свой;больной;, — ;больной;взбелениться",PR;SPRO;V;A;S;PR;S;APRO;S;PART;APRO;S;V;A;S;APRO;S;A;A;S;V;S;CONJ;SPRO;V;S;PR;APRO;S;;S;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
— почти все ему отказали.,почти;все;ему;отказали,почти;все;он;отказывать,ADV;SPRO;SPRO;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0
"Его приятели, то есть все истинно-порядочные люди, служившие на Кавказе, напрасно старались восстановить его упадший кредит.",его;приятели;то;есть;все;истинно;порядочные;люди;служившие;на;кавказе;напрасно;старались;восстановить;его;упадший;кредит,он;приятель;то;быть;все;истинно;порядочный;человек;служить;на;кавказ;напрасно;стараться;восстанавливать;он;упадший;кредит,SPRO;S;CONJ;V;SPRO;ADV;A;S;V;PR;S;ADV;V;V;SPRO;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Его наружность была из тех, которые с первого взгляда поражают неприятно, но которые нравятся впоследствии, когда глаз выучится читать в неправильных чертах отпечаток души испытанной и высокой.",его;наружность;была;из;тех;которые;с;первого;взгляда;поражают;неприятно;но;которые;нравятся;впоследствии;когда;глаз;выучится;читать;в;неправильных;чертах;отпечаток;души;испытанной;и;высокой,его;наружность;быть;из;тот;который;с;первый;взгляд;поражать;неприятно;но;который;нравиться;впоследствии;когда;глаз;выучиваться;читать;в;неправильный;черта;отпечаток;душа;испытанный;и;высокий,APRO;S;V;PR;APRO;APRO;PR;ANUM;S;V;ADV;CONJ;APRO;V;ADV;CONJ;S;V;V;PR;A;S;S;S;A;CONJ;A,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Бывали примеры, что женщины влюблялись в таких людей до безумия и не променяли бы их безобразия на красоту самых свежих и розовых эндимионов.",бывали;примеры;что;женщины;влюблялись;в;таких;людей;до;безумия;и;не;променяли;бы;их;безобразия;на;красоту;самых;свежих;и;розовых;эндимионов,бывать;пример;что;женщина;влюбляться;в;такой;человек;до;безумие;и;не;променивать;бы;их;безобразие;на;красота;самый;свежий;и;розовый;эндимион,V;S;CONJ;S;V;PR;APRO;S;PR;S;CONJ;PART;V;PART;APRO;S;PR;S;APRO;A;CONJ;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Надобно отдать справедливость женщинам: они имеют инстинкт красоты душевной; оттого-то, может быть, люди подобные Вернеру, так страстно любят женщин.",надобно;отдать;справедливость;женщинам;они;имеют;инстинкт;красоты;душевной;оттого;то;может;быть;люди;подобные;вернеру;так;страстно;любят;женщин,надобно;отдавать;справедливость;женщина;они;иметь;инстинкт;красота;душевный;оттого;то;мочь;быть;человек;подобный;вернер;так;страстно;любить;женщина,ADV;V;S;S;SPRO;V;S;S;A;ADVPRO;CONJ;V;V;S;A;S;ADVPRO;ADV;V;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Вернер был мал ростом и худ и слаб, как ребенок; одна нога была у него короче другой, как у Байрона; в сравнении с туловищем голова его казалась огромна: он стриг волосы под гребенку, и неровности его черепа, обнаженные таким образом, поразили бы френолога странным сплетением противуположных наклонностей.",вернер;был;мал;ростом;и;худ;и;слаб;как;ребенок;одна;нога;была;у;него;короче;другой;как;у;байрона;в;сравнении;с;туловищем;голова;его;казалась;огромна;он;стриг;волосы;под;гребенку;и;неровности;его;черепа;обнаженные;таким;образом;поразили;бы;френолога;странным;сплетением;противуположных;наклонностей,вернер;быть;маленький;рост;и;худой;и;слабый;как;ребенок;один;нога;быть;у;он;короткий;другой;как;у;байрон;в;сравнение;с;туловище;голова;его;казаться;огромный;он;стричь;волос;под;гребенка;и;неровность;его;череп;обнаженный;такой;образ;поражать;бы;френолог;странный;сплетение;противуположный;наклонность,S;V;A;S;CONJ;A;CONJ;A;CONJ;S;APRO;S;V;PR;SPRO;A;APRO;CONJ;PR;S;PR;S;PR;S;S;APRO;V;A;SPRO;V;S;PR;S;CONJ;S;APRO;S;A;APRO;S;V;PART;S;A;S;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Его маленькие черные глаза, всегда беспокойные, старались проникнуть в ваши мысли.",его;маленькие;черные;глаза;всегда;беспокойные;старались;проникнуть;в;ваши;мысли,его;маленький;черный;глаз;всегда;беспокойный;стараться;проникать;в;ваш;мысль,APRO;A;A;S;ADVPRO;A;V;V;PR;APRO;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0
"В его одежде заметны были вкус и опрятность; его худощавые, жилистые и маленькие руки красовались в светло-желтых перчатках.",в;его;одежде;заметны;были;вкус;и;опрятность;его;худощавые;жилистые;и;маленькие;руки;красовались;в;светло-желтых;перчатках,в;его;одежда;заметный;быть;вкус;и;опрятность;его;худощавый;жилистый;и;маленький;рука;красоваться;в;светло-желтый;перчатка,PR;APRO;S;A;V;S;CONJ;S;APRO;A;A;CONJ;A;S;V;PR;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Его сертук, галстук и жилет были постоянно черного цвета.",его;сертук;галстук;и;жилет;были;постоянно;черного;цвета,его;сертук;галстук;и;жилет;быть;постоянно;черный;цвет,APRO;S;S;CONJ;S;V;ADV;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0
"Молодежь прозвала его Мефистофелем; он показывал, будто сердился за это прозвание, но в самом деле оно льстило его самолюбию.",молодежь;прозвала;его;мефистофелем;он;показывал;будто;сердился;за;это;прозвание;но;в;самом;деле;оно;льстило;его;самолюбию,молодежь;прозывать;его;мефистофель;он;показывать;будто;сердиться;за;этот;прозвание;но;в;самый;дело;оно;льстить;его;самолюбие,S;V;APRO;S;SPRO;V;PART;V;PR;APRO;S;CONJ;PR;APRO;S;SPRO;V;APRO;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Мы друг друга скоро поняли и сделались приятелями, потому что я к дружбе неспособен.",мы;друг;друга;скоро;поняли;и;сделались;приятелями;потому;что;я;к;дружбе;неспособен,мы;друг;друг;скоро;понимать;и;сделаться;приятель;потому;что;я;к;дружба;неспособный,SPRO;S;S;ADV;V;CONJ;V;S;ADVPRO;CONJ;SPRO;PR;S;A,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0
